Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.033797768609339,-2.24756295124704E-05,0.0999430830021508,0,0,0,7.47968846364906,0.0387858772541378,1.38055569604761E-05,-0.00110303527066198,0.0607658473870163,9.94176818690902E-06,0.054196912580205,0,0,0,0,0,0,package://mz07/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/base_link.STL,,MZ07-01b.step-1,Global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.014842,1.0345E-05,0.081196,0,0,0,4.4116,0.035894,1.0851E-06,-0.0047925,0.023639,-8.8663E-06,0.030308,0,0,0,0,0,0,package://mz07/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/Link1.STL,,MZ07-011.step-1,Coor1,基准轴1,J1,revolute,0,0,0.197,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,-0.010731,-0.15607,-7.0183E-05,0,0,0,5.7737,0.094601,-0.00033428,1.1805E-05,0.027544,0.00010399,0.078296,0,0,0,0,0,0,package://mz07/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/Link2.STL,,MZ07-012.step-1,Coor2,基准轴2,J2,revolute,0.05,0,0.148,-1.5708,0,0,Link1,0,0,1,0,0,0,0,,,,,,,,
Link3,-0.0090511,-0.020552,-0.00035077,0,0,0,2.9259,0.0079804,0.00090568,-2.4051E-05,0.010878,4.0099E-05,0.013867,0,0,0,0,0,0,package://mz07/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/Link3.STL,,MZ07-013.step-1,Coor3,基准轴3,J3,revolute,0,-0.33,0,0,0,0,Link2,0,0,-1,0,0,0,0,,,,,,,,
Link4,0.00021781,0.0009554,-0.14242,0,0,0,2.5501,0.015161,1.6771E-05,-1.1985E-06,0.013658,-0.00018313,0.005607,0,0,0,0,0,0,package://mz07/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/Link4.STL,,MZ07-014.step-1,Coor4,基准轴4,J4,revolute,0.34,-0.045,0,1.5708,0,1.5708,Link3,0,0,-1,0,0,0,0,,,,,,,,
Link5,0.023041,2.0719E-05,-0.0044788,0,0,0,0.39427,0.0004154,-1.6241E-08,-4.1736E-05,0.00053835,-6.3531E-07,0.0004912,0,0,0,0,0,0,package://mz07/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/Link5.STL,,MZ07-015.step-1,Coor5,基准轴5,J5,revolute,0,0,0,1.5708,-1.5708,0,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,-0.00027465,-7.3536E-05,0.070583,0,0,0,0.030302,1.1541E-05,7.1157E-08,-9.3007E-09,1.1088E-05,-2.4931E-09,2.1471E-05,0,0,0,0,0,0,package://mz07/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/Link6.STL,,MZ07-016.step-1,Coor6,基准轴6,J6,revolute,0,0,0,1.5708,0,1.5708,Link5,0,0,-1,0,0,0,0,,,,,,,,
Tool,-0.00027465,-7.3538E-05,-0.0024173,0,0,0,0.030302,1.1541E-05,7.1161E-08,-9.3006E-09,1.1088E-05,-2.4932E-09,2.1471E-05,0,0,0,0,0,0,package://mz07/meshes/Tool.STL,1,1,1,1,0,0,0,0,0,0,package://mz07/meshes/Tool.STL,,MZ07-016.step-1,Tool,,J7,fixed,0,0,0.073,0,0,0,Link6,0,0,0,,,,,,,,,,,,
